優先等級,類別,項目名稱,預計期限/日期,狀態,相關網址/App,詳細說明與重要備忘
P1-重要準備,美食餐廳,預約 9/25 聖米歇爾山 Le Pré Salé 黑面鹽沼羊法餐,出發前一週（9/8前）,⬜未完成,https://www.le-mont-saint-michel.com/,9/25 20:30 晚餐。位於 Mercure 飯店旁，品嚐頂級 AOP 鹽沼羊肉 (Agneau de Pré-Salé)，強烈建議提早線上或電話訂位。
P1-重要準備,美食餐廳,預約 9/26 La Ferme Saint-Michel 黑面鹽沼羊午餐,9/26 14:00,✅已完成 (14:00已訂位/Zenchef),https://www.restaurantfermesaintmichel.com/,9/26 (六) 14:00 雙人已預約。🔑道閘Access Code【645504】・停餐廳私人停車場・保管取票機紙本Ticket・離場通行費 10€・地址: 4 Route de la Caserne・電話: 02.33.58.46.79・已獲贈官方語音導覽。
P1-重要準備,數位工具,下載 VoiceMap App 並兌換聖米歇爾山官方語音導覽,出發前一週（9/8前）,⬜待兌換,VoiceMap App (iOS/Android),下載 VoiceMap App ➔ 點選 "Visit codes" ➔ 輸入專屬兌換碼【0B6CBA60】(可供 2 次下載)。出發前務必先下載好離線導覽路線音檔・自備耳機・手機充飽電。
P1-重要準備,美食餐廳,預約 9/27 盧昂 La Couronne 1345 百年老餐廳晚餐,9/27 20:00,✅已完成 (20:00已訂位/TheFork),https://www.lacouronne-rouen.com/,9/27 (日) 20:00 雙人已預約。訂單編號【ID: 790B-8602-147D-CA61】・全法最古老小酒館(創立於1345年)・地址: 31 Place du Vieux Marché, 76000 Rouen・品嚐傳統諾曼第法餐。
P1-重要準備,住宿預訂,預訂 9/26 翁夫勒飯店 (B&B HOTEL Honfleur),9/26–9/27 (1晚),✅已完成 (BB22633724),B&B HOTELS 官網,9/26 (六) 入住 1 晚已預訂確認。訂單代碼【BB22633724】・總額 70.98€(現場付款)・雙床房・附設專屬免費停車場・地址: Chemin du Banc, 14600 La Rivière-Saint-Sauveur・電話: 08 92 78 80 44・14:00起可入住。
P1-重要準備,住宿預訂,預訂 9/27 盧昂市區飯店 (1晚),出發前一週（9/8前）,⬜未完成,訂房網站 / 官網,9/27 (日) 入住 1 晚。建議選擇老城區附停車場之飯店，方便步行參觀盧昂大教堂與大時鐘。
P1-重要準備,住宿預訂,預訂 9/28 吉維尼/Vernon 周邊飯店 (1晚),出發前一週（9/8前）,⬜未完成,訂房網站 / 官網,9/28 (一) 入住 1 晚。方便 9/29 一早 09:30 抵達莫內花園第一批入場。
P1-重要準備,住宿預訂,預訂 9/29 凡爾賽宮周邊飯店 (1晚),出發前一週（9/8前）,⬜未完成,訂房網站 / 官網,9/29 (二) 入住 1 晚。方便 9/30 一早 09:00 第一場衝刺凡爾賽宮鏡廳。
P1-重要準備,住宿預訂,預訂 9/30-10/2 迪士尼 Zenitude 飯店 (3晚),出發前一週（9/8前）,⬜未完成,Zenitude 官網 / 平台,9/30 (三) ~ 10/2 (五) 入住 3 晚。鄰近 Chessy 還車站與迪士尼雙樂園。
P1-重要準備,住宿預訂,預訂 10/3-10/5 巴黎市區飯店 (3晚),出發前一週（9/8前）,⬜未完成,訂房網站 / 官網,10/3 (六) ~ 10/5 (一) 入住 3 晚。建議選擇 13 區 B&B 或市區便利地鐵站周邊。
P1-重要準備,婚紗專區,準備婚紗試穿裝備與記錄店家代碼,出發前一週（9/8前）,⬜未完成,The Bride Paris,9/17 11:00 試紗。備妥膚色無痕內衣、NuBra、隱形眼鏡、淡妝。店家地址：22 rue de l'Odeon (6區)，門禁 Code: 2734，電梯 Code: 1869。
P1-重要準備,婚紗專區,婚紗拍攝前夜與當日動線準備,9/19 - 9/20,⬜未完成,攝影師聯繫管道,9/19 晚間早睡養膚。9/20 清晨 04:00 梳畫、07:00 日出開拍（鐵塔、羅浮宮、亞歷山大三世橋、塞納河）。備平底便鞋移動。
P1-重要準備,交通自駕,自備自駕配件裝備,出發前一週（9/8前）,⬜未完成,隨身行李,自備：車用手機支架、車用充電線/點菸器轉接頭、偏光太陽眼鏡（法國陽光強烈安全必備）。
P1-重要準備,美食餐廳,確認 9/21 Chez Janou 訂位與 9/29 盧昂訂位,出發前一週（9/8前）,✅已完成(Chez Janou),https://www.lacouronne.com,9/21 16:00 Chez Janou 已訂位。9/29 盧昂百年老餐廳 La Couronne（1345年創立）若欲用餐建議提前預訂 19:00。
P2-行前設定,手機設定,下載巴黎必備 App 與離線地圖,出發前 3 天,⬜未完成,App Store / Google Play,下載：Notre-Dame de Paris App、Disneyland Paris App、Citymapper、SNCF Connect；Google Maps 預先下載諾曼第、聖馬洛與巴黎離線地圖。
P2-行前設定,通訊網路,開通歐洲多國上網 SIM / eSIM,出發前 3 天,⬜未完成,電信商 / eSIM,確保高速流量充足，且具備歐洲在地通話通訊功能（自駕聯絡車行與飯店必備）。
P2-行前設定,行李裝備,打包轉接頭、防盜裝備與 1 吋大頭照,出發前 3 天,⬜未完成,隨身行李,歐規雙圓孔轉接頭(Type C/E)、行動電源隨身攜帶、防盜隨身暗袋、1吋大頭照2張（申辦實體Navigo週卡備用）、防風薄外套。
P3-旅途動態,交通票券,9/16 抵達辦理 Navigo 週卡 / Navigo Easy,9/16 (三) 抵達日,⬜未完成,CDG 機場 / 地鐵站櫃檯,於戴高樂機場 RER 車站或市區地鐵站購買 Navigo 週卡（暢搭 1-5 圈），需自備 1 吋大頭照貼卡。
P3-旅途動態,景點預約,9/16-9/20 搶 9/22 巴黎聖母院內部參觀預約,9/16 - 9/20,⬜未完成,Notre-Dame de Paris App,聖母院重建後免費入場但需預約時段。抵達法國後提前 1-2 天在官方 App 上搶訂 9/22 參觀時段。
P3-旅途動態,退稅購物,購物退稅單 (Tax Free Form) 集中保管,9/16 - 10/5 全程,⬜未完成,隨身退稅夾鏈袋,每次購物出示護照索取退稅單，妥善收納於專用夾鏈袋中，確認每張單據條碼清晰。10/5 晚間統一整理核對。
P3-旅途動態,返台退稅,10/6 戴高樂機場退稅「先退稅再託運」,10/6 (二) 07:00,⬜未完成,CDG 機場 PABLO 退稅機,11:20 航班，提前 4 小時（07:00）抵達機場。① 掃 PABLO 機條碼 ➔ ② 綠燈投信箱 / 紅燈海關蓋章 ➔ ③ 確定完成退稅後再去櫃檯託運行李！
