城市/區域,類別,店名,招牌必點/特色,地址/鄰近地標,Google Maps 連結,營業時間/公休日,來源/備註
巴黎 6 區 (左岸),☕ 傳奇咖啡,Café de Flore (花神咖啡館),雙蛋火腿可頌・熱巧克力・露天座看巴黎街景,172 Bd Saint-Germain,https://www.google.com/maps/search/?api=1&query=Cafe+de+Flore+Paris,07:30-01:30,巴黎文化地標・沙特與西蒙波娃故居・左岸靈魂
巴黎 6 區 (左岸),📚 文藝地標,Shakespeare and Company,傳奇英文老書店・復古藏書・買書蓋專屬紀念藏書章,37 Rue de la Bûcherie,https://www.google.com/maps/search/?api=1&query=Shakespeare+and+Company+Paris,10:00-20:00 (週日12:00-19:00),塞納河畔聖母院對面・《愛在日落巴黎時》拍攝地
巴黎 6 區 (左岸),☕ 傳奇百年法餐,Le Procope (普羅可布咖啡館),全巴黎最古老咖啡館(1686年)・拿破崙帽子真跡・傳統油封鴨/生蠔海鮮盤,13 Rue de l'Ancienne Comédie,https://maps.app.goo.gl/dy5QtARPd9ZAst1B9,12:00-00:00 (無休),伏爾泰/盧梭/拿破崙常客・巴黎歷史最悠久餐廳・左岸文藝經典
巴黎 12 區 (市集),🛍️ 在地市集,Marché d'Aligre,露天蔬果市集・二手黑膠古董跳蚤・起司冷肉熟食,Place d'Aligre,https://www.google.com/maps/search/?api=1&query=Marche+d+Aligre+Paris,07:30-13:30 (週一休),巴黎在地人最愛的百年市集・採買伴手禮與生活感首選
巴黎 9 區 (歌劇院/蒙馬特),🍝 典雅義式,Pink Mamma,頂樓玻璃花房陽光灑落・招牌松露手工義大利麵・佛羅倫斯大牛排・巨盆提拉米蘇,20bis Rue de Douai,https://maps.app.goo.gl/WPyntVFKJbjxni5h9,12:00-14:30 18:45-22:45,IG爆紅四層樓典雅花房餐廳・Big Mamma集團・強烈建議提早官網訂頂樓玻璃花房位
巴黎 1 區 (Châtelet),🍳 廚具烘焙,MORA (巴黎百年烘焙模具總匯),Matfer 可麗露銅模・瑪德蓮模・水果塔圈・烘焙書籍・持烘焙學生證9折,13 Rue Montmartre,https://www.google.com/maps/search/?api=1&query=Mora+13+Rue+Montmartre+Paris,09:00-18:15 (週日休),創於1814年・法國甜點師必訪聖地・整面牆銅模與專業擠花嘴
巴黎 1 區 (Châtelet),🍳 廚具烘焙,Déco Relief (烘焙翻糖造型用具),天然食用色素・特殊幾何矽膠模・翻糖雕刻工具・持烘焙學生證9折,6 Rue Montmartre,https://www.google.com/maps/search/?api=1&query=Deco+Relief+6+Rue+Montmartre+Paris,09:00-18:00 (週日休),專精法式甜點造型與裝飾原料・品項特殊精巧
巴黎 1 區 (Châtelet),🍳 廚具烘焙,TOC - Trouble Obsessionnel Culinaire,現代精品廚具選品・Peugeot胡椒罐・主廚刀・持烘焙學生證9折,38 Rue Montmartre,https://www.google.com/maps/search/?api=1&query=TOC+Trouble+Obsessionnel+Culinaire+Rue+Montmartre+Paris,10:00-19:30 (週日休),現代複合式廚具生活館・常有驚喜特價折扣品
巴黎 2 區 (Châtelet),🍳 廚具烘焙,A.Simon PARIS (高 CP 值法式餐廚),法式厚白瓷烤盤・小陶盅・不鏽鋼攪拌盆・持烘焙學生證9折,48-52 Rue Montmartre,https://www.google.com/maps/search/?api=1&query=A+Simon+48+Rue+Montmartre+Paris,09:00-18:30 (週日休),烘焙人私心最愛・整體 CP 值極高・主廚愛用白瓷餐盤與餐具
巴黎 1 區 (Châtelet),🍳 廚具烘焙,E. DEHILLERIN (百年傳奇厚銅鍋),手工厚銅燉鍋・銅醬汁鍋・木柄抹刀・Julia Child愛店・持烘焙學生證9折,18-20 Rue Coquillière,https://www.google.com/maps/search/?api=1&query=E+Dehillerin+18+Rue+Coquilliere+Paris,09:00-19:00 (週一中午休/週日休),創立於1820年・200年歷史感拉滿・廚神茱莉亞柴爾德啟蒙銅鍋店
photo,📸 拍照秘境,1. Trocadéro (夏樂宮特羅卡德羅平台),居高臨下俯瞰塞納河與整座艾菲爾鐵塔的宏偉全貌，無遮擋地標正位。,Place du Trocadéro et du 11 Novembre， 75016 Paris,✨ 最佳時段：清晨日出（07:00~08:00）拍無人空景與柔和朝霞,Place du Trocadéro, 75016 Paris
photo,📸 拍照秘境,2. Avenue de Camoëns (卡蒙斯大道石階),盡頭古典弧形石階與路燈，兩側19世紀奧斯曼豪宅完美框住巴黎鐵塔！人像無死角絕景。,Avenue de Camoëns， 75016 Paris (地鐵 Passy 站步行 3 分鐘),✨ 最佳時段：清晨或午後日落前金色時刻 (Golden Hour)，坐在石階上拍延伸感極佳,Avenue de Camoens, 75016 Paris
photo,📸 拍照秘境,3. Pont d'Iéna (耶拿橋橋面),橫跨塞納河連接夏樂宮與鐵塔，人行道能拍出鐵塔頂天立地的震撼比例與街拍動態感。,Pont d'Iéna， 75007 Paris,✨ 拍照技巧：斑馬線與橋頭走動抓拍 (注意來往車流安全),Pont d'Iena, 75007 Paris
photo,📸 拍照秘境,4. Rue de l'Université (大學路 228 號盡頭),巴黎最知名的鐵塔小巷，兩旁是古典紅磚石造公寓，巷弄盡頭就是遮天蔽日的鐵塔本體！,228 Rue de l'Université， 75007 Paris,✨ 婚紗必拍：仰角低角度拍攝，古典公寓與鋼鐵巨塔對比強烈,228 Rue de l'Universite, 75007 Paris
photo,📸 拍照秘境,5. Pont d'Iéna 橋下河畔堤岸 (Port de Suffren),走下耶拿橋階梯至塞納河畔步道，以水面倒影、遊船與復古石造橋洞為前景仰望鐵塔。,Port de la Bourdonnais / Port de Suffren， 75007 Paris,✨ 最佳時機：晚間整點鐵塔閃燈 (Scintillement) 時，水面金色倒影極美,Port de Suffren, 75007 Paris
photo,📸 拍照秘境,6. Avenue de New York (紐約大道林蔭步道),塞納河右岸林蔭大道，透過茂密樹葉、石質河堤矮牆與復古路燈框住鐵塔，充滿文藝浪漫感。,Avenue de New York， 75016 Paris,✨ 構圖技巧：坐在河岸矮牆上以綠蔭為前景虛化對焦,Avenue de New York, 75016 Paris
photo,📸 拍照秘境,7. Rue de Buenos Aires (布宜諾斯艾利斯路),位於戰神廣場旁的小巷，古典奧斯曼雕花金頂建築與鐵塔以超近距離交疊，奢華法式感拉滿！,Rue de Buenos Aires， 75007 Paris,✨ 拍攝角度：站在巷口微仰角拍攝，法式金色建築與鐵塔同框,Rue de Buenos Aires, 75007 Paris
photo,📸 拍照秘境,8. Port Debilly (德比利港水岸堤道),塞納河右岸下層親水步道，沿岸有優美的綠色垂柳、石板堤岸與波光粼粼的水面倒映鐵塔。,Port Debilly， 75016 Paris,✨ 浪漫氛圍：適合傍晚散步，以垂柳綠意和水面波光為構圖層次,Port Debilly, 75016 Paris
photo,📸 拍照秘境,9. Rue de Monttessuy (蒙特敘伊路),人潮較少的幽靜小巷，典雅的奧斯曼建築筆直延伸至鐵塔基座，街景乾淨純粹、拍照不雜亂！,Rue de Monttessuy， 75007 Paris,✨ 攝影師愛用：街道正中央站姿/過馬路街拍，背景鐵塔完整直立,Rue de Monttessuy, 75007 Paris
photo,📸 拍照秘境,10. Passerelle Debilly (德比利行人拱橋),1900年世博會留下的綠色鋼鐵行人天橋，完全無車流！橋面木棧道與對角鐵塔構成典雅線條。,Passerelle Debilly， 75007 Paris,✨ 完美拍攝：站在天橋欄杆旁或橋中央，不用擔心車流，拍婚紗人像極致安全優雅,Passerelle Debilly, 75007 Paris
coffee,☕ 咖啡甜點,Merlo Café (勃根地酒紅極簡風),第3區大街時尚巴黎風精品咖啡，酒紅色高質感門面與極簡裝潢。推薦戶外座位喝 Iced Matcha Yuzu Tonic 與冰茶。,61 Rue de Turenne， 75003 Paris (地鐵 Saint-Sébastien - Froissart 站),🌟 必點：Iced Matcha Yuzu Tonic (冰抹茶柚子通寧)、冰茶，夏天微涼坐戶外極舒服,Merlo Cafe, 61 Rue de Turenne, 75003 Paris
coffee,☕ 咖啡甜點,Sevenly Heart (法式復古奶油風),第3區瑪黑心臟地帶，溫柔法式奶油色 (Cream) 裝潢，超好拍的復古空間，水果氣泡特飲極受好評。,55 Rue des Archives， 75003 Paris (地鐵 Rambuteau / Hôtel de Ville 站),🌟 必點：各類當季水果氣泡特飲 (Sparkling Mocktails)、特調咖啡,Sevenly Heart, 55 Rue des Archives, 75003 Paris
coffee,☕ 咖啡甜點,Forêt Forêt (頂級手沖莊園豆・推薦回訪),第11區高水準精品咖啡，手沖實力全巴黎頂尖！選用韓國名廠 Aery Coffee 烘焙豆 (巴拿馬翡翠/詹森莊園)，店主小狗常出沒。,17 Rue de la Folie-Méricourt， 75011 Paris (地鐵 Saint-Ambroise 站),🌟 必點：Panama Janson 厭氧手沖、Esmeralda Natural 翡翠藝伎日曬手沖,Foret Foret, 17 Rue de la Folie-Mericourt, 75011 Paris
coffee,☕ 咖啡甜點,Taxiphone Paris (胡桃木復古慢活),位於10/18區交界靜謐街角，胡桃木色系與復古古董燈裝潢，氣氛極為安靜，適合閱讀、工作與感受巴黎慢活。,36 Rue de la Goutte d'Or， 75018 Paris (近地鐵 Barbès - Rochechouart),🌟 必點：Flat White (澳白咖啡) 配 Lemon Pound Cake (檸檬磅蛋糕),Taxiphone Paris, 36 Rue de la Goutte d'Or, 75018 Paris
coffee,☕ 咖啡甜點,TIBA Paris (極淺烘焙 ＆ 冷凍濃縮奶),主打極淺烘焙精品豆，奶咖特別提供「冷凍提純濃縮奶 (Freeze-distilled milk)」選項，乳糖甜度極高，口感絲滑濃郁。,Rue de la Folie-Méricourt， 75011 Paris,🌟 必點：極淺烘單品豆拿鐵 (搭配提純濃縮奶，天然甜度驚人),TIBA Paris, 75011 Paris
coffee,☕ 咖啡甜點,Substance Café (預約制世界大賽神殿),巴黎極富盛名的頂級精品咖啡！競標豆與極淺烘極品最多。主理人以世界咖啡大賽形式在吧台一對一沖煮解說，必須提前線上預約！,30 Rue Ducouëdic， 75014 Paris (地鐵 Denfert-Rochereau / Mouton-Duvernet),⚠️ 必備：必須提前至官網/IG 預約席位！推薦 Espresso-based 特選豆品鑑,Substance Cafe, 30 Rue Ducouedic, 75014 Paris
market,🛍️ 伴手市集,Fleux' (瑪黑區美學居家選物街),瑪黑區超大規模生活美學選物街 (整條街4間主題分館)！玻璃杯、復古電話、海報、特色餐盤、香氛蠟燭應有盡有。,39 Rue Sainte-Croix-de-la-Bretonnerie， 75004 Paris (地鐵 Hôtel de Ville 站步行 4 分鐘),⏰ 11:00-20:00 (週日13:00-20:00，週日有開！) ｜ 滿 €100.01 可退稅,39 Rue Sainte-Croix-de-la-Bretonnerie, 75004 Paris
market,🛍️ 伴手市集,ALOHAS Paris - MARAIS (人氣芭蕾平底鞋),西班牙熱門永續時尚女鞋品牌，瑪黑旗艦店。必買方頭綁帶芭蕾平底鞋與復古瑪莉珍鞋，版型極佳又好走。,75 Rue Vieille-du-Temple， 75003 Paris (地鐵 Saint-Paul 站步行 5 分鐘),⏰ 11:00-19:30 (週日12:00-19:30，週日有開！) ｜ 買1雙 (€150~220) 直接達標退稅！,75 Rue Vieille-du-Temple, 75003 Paris
market,🛍️ 伴手市集,merci (傳奇生活概念選品店),巴黎最具代表性的文青生活概念店！中庭有經典紅色復古 Fiat 500 小車 (必拍！)。必買熱門豹紋/經典字母托特包 (€45)。,111 Boulevard Beaumarchais， 75003 Paris (地鐵 Saint-Sébastien 站出站 1 分鐘),⏰ 10:00-19:30 (週日11:00-19:30，週日有開！) ｜ 滿 €100.01 可退稅 ｜ 附二手書咖啡館,111 Boulevard Beaumarchais, 75003 Paris
kitchen,🍳 廚具烘焙,SABRE Paris - MARAIS (頂級撞色客製餐具),法國頂級餐具工藝，自選壓克力手柄顏色 (復古玳瑁/粉彩/格紋) 混搭不銹鋼刀叉匙！Bistrot 經典系列極具法式餐桌美學。,39 Rue de Poitou， 75003 Paris (地鐵 Saint-Sébastien 站步行 3 分鐘),⏰ 週二至週六 11:00-19:00 (⚠️ 每週日、週一固定公休！) ｜ 滿 €100.01 可退稅,39 Rue de Poitou, 75003 Paris
food,🥩 必吃法餐,PRATZ (皮加勒自然酒吧・Cave à Manger),第9區 Pigalle 潮流街區的純粹自然酒吧 (Natural Wine Bar)，La Petite Charlotte 店員也私藏推薦。提供精選自然酒、熟成起司與生火腿冷肉盤。,59 Rue Jean-Baptiste Pigalle， 75009 Paris (地鐵 Pigalle 站步行 3 分鐘),⏰ 18:00-00:00 (週日/週一公休) ｜ 必點：單杯有機自然酒、伊比利生火腿起司拼盤,59 Rue Jean-Baptiste Pigalle, 75009 Paris
food,🥩 必吃法餐,Les Eiders (19區運河超平價家常小店),19區充滿社區人情味的溫暖小館，整間都是互相認識的巴黎在地鄰居。超佛心主餐只要 €13，體驗最地道無觀光客的法式家常菜。,142 Avenue de Flandre， 75019 Paris (地鐵 Corentin Cariou 站步行 2 分鐘),⏰ 11:30-15:00， 18:30-22:00 ｜ 亮點：主餐只要 €13 歐元，份量實在、氣氛親切,142 Avenue de Flandre, 75019 Paris
coffee,☕ 咖啡甜點,Bang - sandwichs, coffee & pastry (創意風味三明治),第10區極具人氣的潮流外帶輕食咖啡店，混合世界各國香料風味的特製三明治，手工麵包酥脆、食材極新鮮，配單品咖啡超滿足。,96 Rue du Faubourg Poissonnière， 75010 Paris (地鐵 Poissonnière 站步行 3 分鐘),⏰ 08:30-16:00 (週日有開！) ｜ 必吃：每日特製熱三明治 (€10~€14)、可頌酥皮點心,96 Rue du Faubourg Poissonniere, Paris
coffee,☕ 咖啡甜點,Café Lapérouse (協和廣場・Dior 總監操刀最美早午餐),LVMH集團旗下、由Dior Maison藝術總監親自操刀！位於協和廣場海洋宮殿中庭，藍白貝殼印花餐具與古典拱廊，儀式感滿分。,2 Place de la Concorde， 75008 Paris (地鐵 Concorde 站出站步行 1 分鐘),⏰ 08:00-23:00 (早午餐供應至10:30) ｜ 必點：Lapérouse 早餐套餐 (桌邊現敲水煮蛋)、法式熱巧克力沾可頌 ｜ 建議預約戶外庭院座,Cafe Laperouse, 2 Place de la Concorde, 75008 Paris
food,🥩 必吃法餐,Les Antiquaires (左岸古董街・4訪神級法式小酒館),第7區左岸奧賽博物館旁人氣排隊名店！作者4訪力推：法式紅酒燉牛肉入口即化，用麵包沾醬汁超絕；現開生蠔鮮美、蒜香青醬焗蝸牛、酥脆焦糖烤布蕾必吃。,13 Rue du Bac， 75007 Paris (地鐵 Rue du Bac / Musée d'Orsay 站步行 3 分鐘),⏰ 07:00-00:00 (全天營業，✅ 週日有開！) ｜ 必吃：經典紅酒燉牛肉、現開生蠔、勃根地焗蝸牛、法式焦糖烤布蕾 ｜ 建議提早抵達或官網預約,Les Antiquaires, 13 Rue du Bac, 75007 Paris
market,🛍️ 伴手市集,Astier de Villatte (手工黑泥白釉陶器殿堂),1區聖多諾黑街傳奇陶藝工坊！全店充滿不太完美卻極致優雅的黑泥手工白釉陶器、古典線香與香氛蠟燭，文藝典雅美學典範。,173 Rue Saint-Honoré， 75001 Paris (地鐵 Palais Royal - Musée du Louvre 站步行 2 分鐘),⏰ 11:00-19:30 (週日有開！) ｜ 滿 €100.01 可退稅 ｜ 必買：手工白陶杯盤、歌劇院線香、古典火柴,173 Rue Saint-Honore, 75001 Paris
market,🛍️ 伴手市集,L'objet qui parle (蒙馬特會說話的復古古董雜貨),18區殉道者街精選古董選物店！如同店名「會說話的物件」，塞滿店主淘來的百年復古骨董小物、巴黎搪瓷藍色老路牌、舊鑰匙與古董餐具。,86 Rue des Martyrs， 75018 Paris (地鐵 Abbesses / Pigalle 站步行 4 分鐘),⏰ 週二至週六 13:00-19:00 (⚠️ 週日、週一公休) ｜ 亮點：巴黎復古老物件、古董餐瓷挖寶,86 Rue des Martyrs, 75018 Paris
market,🛍️ 伴手市集,Marin Montagut (左岸插畫家詩意復古選物店),巴黎知名插畫家 Marin Montagut 親手打造的夢幻詩意小店！充滿手工手繪水彩玻璃杯、巴黎地圖手帕、秘密書本造型收納盒、法式復古文具。,48 Rue Madame， 75006 Paris (地鐵 Saint-Placide / Rennes 站步行 3 分鐘，近盧森堡公園),⏰ 週一至週六 11:00-19:00 (⚠️ 週日公休) ｜ 滿 €100.01 可退稅 ｜ 必買：手繪水彩玻璃杯、秘密書盒,48 Rue Madame, 75006 Paris
coffee,☕ 咖啡甜點,Café Le Jardin du Petit Palais (小皇宮隱藏庭院花園咖啡),被譽為全巴黎最被低估的夢幻花園咖啡！隱藏在小皇宮 (Petit Palais) 免費中庭花園內，半圓形羅馬拱廊、馬賽克拼花地板與綠色法式鐵椅，拍照超有法式美感。,2 Avenue Winston Churchill， 75008 Paris (地鐵 Champs-Élysées - Clemenceau 站步行 2 分鐘),⏰ 10:00-17:15 (⚠️ 每週一公休，✅ 週日有開！) ｜ 免費入場！小皇宮常設展與花園免門票即可直接進入 ｜ 建議平日上午獨享靜謐,Cafe Le Jardin du Petit Palais, 2 Avenue Winston Churchill, 75008 Paris
market,🛍️ 伴手市集,Le Butter Shop (巴黎首家職人手工奶油專賣店),巴黎首家獨立職人奶油專賣殿堂！匯集全法國頂級手打奶油，進店免費試吃。提供現切巧克力、海藻、松露等特殊風味，免費真空包裝＋可直接送達巴黎飯店！出示歐棒巴黎優惠券享 9 折。,5 Rue Bouchut， 75015 Paris (地鐵 Sèvres-Lecourbe 站步行 2 分鐘，近鐵塔/戰神廣場),⏰ 一二四五六 10:30-18:30 (⚠️ 每週三、週日公休！) ｜ 必買：松露/海鹽/巧克力奶油 ｜ 🎁 歐棒巴黎9折券＋免費真空包裝＋可送飯店,Le Butter Shop, 5 Rue Bouchut, 75015 Paris
coffee,☕ 咖啡甜點,Starbucks Capucines (巴黎歌劇院・全球最美凡爾賽宮殿級星巴克),17世紀古典豪華銀行大廳改建！巨型巴洛克水晶吊燈、天使壁畫拱頂與金色雕花柱，奢華如同凡爾賽宮鏡廳！花普通咖啡錢享受宮殿級震撼，逛街歇腳與休憩好去處。,3 Boulevard des Capucines， 75002 Paris (地鐵 Opéra 站出站步行 1 分鐘，近加尼葉歌劇院/老佛爺),⏰ 06:45-22:30 (全天無休，✅ 週日有開！) ｜ 亮點：免費WiFi、宮殿水晶吊燈留影、憑收據密碼使用乾淨廁所,Starbucks, 3 Boulevard des Capucines, 75002 Paris
food,🥩 必吃法餐,Ralph's Restaurant (左岸常春藤綠植庭院美式餐廳),位於左岸 Ralph Lauren 旗艦豪宅中庭！爬滿綠色常春藤的石造古典庭院、紅色遮陽傘與復古鍛鐵椅。提供頂級美式黑安格斯牛排、龍蝦堡與布朗尼。,173 Boulevard Saint-Germain， 75006 Paris (地鐵 Saint-Germain-des-Prés 站步行 2 分鐘),⏰ 12:00-15:00， 19:00-23:00 (✅ 週日有開！) ｜ 必點：Ralph's 招牌漢堡、龍蝦堡、美式焦糖布朗尼 ｜ 建議預約庭院座,Ralph's Restaurant, 173 Boulevard Saint-Germain, 75006 Paris
food,🥩 必吃法餐,Gigi Paris (蒙田大道頂樓奢華義式鐵塔露台),巴黎劇院頂樓極致時髦義式景觀餐廳！可飽覽艾菲爾鐵塔與塞納河全景，晚間露台有經典投影電影與現場音樂，名流名模熱門聚會地。,15 Avenue Montaigne， 75008 Paris (地鐵 Alma-Marceau 站步行 2 分鐘),⏰ 12:00-15:00， 19:30-02:00 ｜ 必點：黑松露手工麵、貝里尼調酒 ｜ 建議提前2~4週於官網搶訂露台晚宴,Gigi Paris, 15 Avenue Montaigne, 75008 Paris
food,🥩 必吃法餐,Bambini Paris (東京宮義式時髦熱帶露台),坐落於東京宮 (Palais de Tokyo) 現代藝術館戶外！滿滿檸檬樹、條紋陽傘與義式度假氛圍，近距離仰望鐵塔，氣氛歡樂時髦。,13 Avenue du Président Wilson， 75116 Paris (地鐵 Iéna 站步行 2 分鐘),⏰ 12:00-15:00， 19:00-02:00 (✅ 週日有開！) ｜ 必點：拿坡里窯烤披薩、炸起司條、特調 Spritz,Bambini Paris, 13 Avenue du President Wilson, 75116 Paris
food,🥩 必吃法餐,MUN Paris (香榭麗舍頂樓亞洲景觀露台),位於香榭麗舍大道老佛爺百貨頂樓！全巴黎最美的高空亞洲融合餐酒館，戶外日式花園露台俯瞰整條香榭大道直望艾菲爾鐵塔夕陽。,52 Avenue des Champs-Élysées， 75008 Paris (地鐵 Franklin D. Roosevelt 站出站即達),⏰ 12:00-15:00， 19:00-02:00 ｜ 必點：頂級生魚片握壽司、和牛串燒、亞洲風味調酒 ｜ 露台日落時段最美,MUN, 52 Avenue des Champs-Elysees, 75008 Paris
food,🥩 必吃法餐,MALRO (上瑪黑區・台灣甜點師激推義式地中海餐酒館),旅居巴黎3年台灣甜點師極力激推！挑高橘色球燈時髦空間。必點：骨肉分離超嫩牛肋排佐松露薯泥、無腥味南瓜醬生牛肉、手工海鮮寬麵，甜點必留胃吃熱開心果流心熔岩蛋糕！,7 Rue Froissart， 75003 Paris (地鐵 Saint-Sébastien - Froissart 站出站步行 1 分鐘，近Merci/SABRE),⏰ 12:00-15:00， 19:00-01:00 (全天無休，✅ 週日有開！) ｜ 必點：慢烤牛肋排佐松露薯泥、炸花椰菜球、開心果熔岩蛋糕 ｜ 建議官網/TheFork預約,MALRO, 7 Rue Froissart, 75003 Paris
market,🛍️ 伴手市集,Brigitte Tanaka (法日混血仙氣歐根紗刺繡包),法日混血設計師品牌！將巴黎日常化為輕透優雅的歐根紗刺繡提袋 (Organza Tote)。必買：長棍麵包 Baguette 包、波爾多紅酒標包、Join The Party 系列。,18 Rue des Minimes， 75003 Paris (地鐵 Chemin Vert 站步行 3 分鐘，近畢卡索博物館),⏰ 11:00-19:00 (✅ 週日有開 14:00-19:00，週一公休) ｜ 滿 €100.01 可退稅 ｜ 價格約 €45-€75,Brigitte Tanaka, 18 Rue des Minimes, 75003 Paris
photo,📸 拍照秘境,Fotoautomat Paris (Jennie 同款復古彩色底片快拍亭),BLACKPINK Jennie 也來拍的巴黎復古快拍機！純機械傳統底片沖印，洗出來的照片帶有溫暖底片顆粒感。拍婚紗/穿白洋裝來拍極具紀念價值！,26 Rue Notre-Dame de Nazareth， 75003 Paris (瑪黑新店，地鐵 Temple 站步行 2 分鐘),⏰ 24 小時全天開放 ｜ 費用：約 €3~€4 歐元 (可投幣/感應付款) ｜ 印出經典四格彩色照片,Fotoautomat, 26 Rue Notre-Dame de Nazareth, 75003 Paris
market,🛍️ 伴手市集,Athanase Vivienne (薇薇安拱廊街古董版畫與古地圖藏寶閣),隱藏在巴黎最美「薇薇安拱廊街」內的19世紀古董版畫藏寶閣！整面實木抽屜直通天花板，分門別類收藏百年巴黎古地圖、植物花卉老版畫與復古海報，木香與老紙味迷人。,6 Rue Vivienne (Galerie Vivienne 拱廊內)， 75002 Paris (地鐵 Bourse 站步行 2 分鐘),⏰ 週一至週六 11:00-19:00 (⚠️ 週日公休) ｜ 亮點：挑一張19世紀巴黎古地圖帶回家裱框,Galerie Vivienne, 6 Rue Vivienne, 75002 Paris
coffee,☕ 咖啡甜點,La Crèma Artisanale (先賢祠旁・100%植物性現烤甜筒手工Gelato),2026爆紅全巴黎大排長龍！100%純手工、全植物性(Vegan)、無乳糖無麩質。必點：現場現烤溫熱酥脆甜筒 (Waffle Cone) ＋ 現炒濃郁黑巧克力冰淇淋 ＋ 鮮奶油擠花，極度濃醇！,19 Rue Soufflot， 75005 Paris (RER B Luxembourg 站步行 2 分鐘，正對先賢祠與盧森堡公園),⏰ 12:00-23:00 (全天營業，✅ 週日有開！) ｜ 必吃：濃郁生巧克力Gelato、現烤Waffle甜筒、當季限定水果風味 ｜ 約 €4.5~€6.5,19 Rue Soufflot, 75005 Paris
dept,🏬 百貨商場,Galeries Lafayette Paris Haussmann (老佛爺百貨奧斯曼旗艦店),巴黎最大地標百年百貨！新藝術彩繪玻璃穹頂・3樓Glasswalk空中步道・8樓免費景觀露台・對面Le Gourmet美食館買Bordier奶油免費真空。,40 Boulevard Haussmann， 75009 Paris (地鐵 Chaussée d'Antin / Opéra 站),⏰ 週一至週六 09:30-20:30， 週日 11:00-20:00 ｜ 亮點：免費露天頂樓看鐵塔・Glasswalk玻璃步道・退稅中心,Galeries Lafayette Paris Haussmann, 40 Boulevard Haussmann, 75009 Paris
