日期,時間,行程名稱,交通 / 備註,狀態,詳細執行筆記與避坑心法
9/25 (五),19:15,庫埃農河水壩（Barrage）觀賞夕陽與點燈夜景,自飯店步行 3-5 分鐘至水壩觀景台,⬜免費,⭐19:26 滿潮倒影 + 19:50 夕陽餘暉 + 20:00 城堡外牆點燈（絕佳機位！）
9/25 (五),20:30,⭐品嚐頂級黑面鹽沼羊肉法餐（Le Pré Salé）,步行至 Restaurant Le Pré Salé,🔴建議提前預約,品嚐國寶級 AOP 鹽沼草飼羊肉(Agneau de Pré-Salé)・餐後可搭免費接駁車至山腳夜遊
9/26 (六),整天,聖米山包島晨光 ➔ 14:00法餐 ➔ 草原拍黑面羊 ➔ 翁夫勒夕陽野餐,自駕 N176 / A84 / A13,已預約,06:45早餐退房寄行李・14:00羊肉法餐・15:45草原拍羊・17:15自駕翁夫勒・宿B&B
9/26 (六),07:30,搭第 1 班接駁車進島・清晨包島漫步,免費接駁車 (Le Passeur),⬜免費,⭐07:45 滿潮(係數87)！拍無人倒影・開 VoiceMap App 聽官方語音導覽 (兌換碼【0B6CBA60】)・享受專屬古城
9/26 (六),09:00,修道院開門參觀 ＆ 古城牆步道,修道院 + 城牆 (Remparts),KKday現場手機購買,09:00 第一批進修道院大殿/空中迴廊・走城牆步道俯瞰退潮海灣・門票於 KKday 當場手機購買即可(即買即用免排隊)・老街買餅乾
9/26 (六),14:00,⭐La Ferme Saint-Michel 頂級鹽沼羊午餐,自駕停入餐廳專屬停車場 (4 Route de la Caserne),✅已預約 (14:00/2人/Zenchef),🔑進道閘輸入密碼【645504】・停餐廳私人停車場・保管紙本Ticket・享用鹽沼羊兩吃・獲贈VoiceMap導覽碼【0B6CBA60】
9/26 (六),15:30,開車出管制區 ➔ 前往草原拍黑面羊秘境,自駕前往 La Roche Torin（約12分）,現場刷卡(通行費 10€),出口機器插入 Ticket 票卡刷付 10€ 抬桿出閘・行李已在車上拉好遮物簾・開車前往 Courtils 羅什托蘭海角
9/26 (六),15:45,⭐La Roche Torin 拍黑面羊群吃草與聖米山大景,Pointe de la Roche Torin 海堤草甸,⬜完全免費停車,退潮草甸拍成群黑面羊低頭吃草・在木柵欄旁拍國家地理大片・散步吹海風
9/26 (六),17:15,自駕啟程前往翁夫勒 (Honfleur),自駕 N176 ➔ A84 ➔ A13（約180km/預留130分）,收費高速公路,路況筆直寬敞・欣賞諾曼第田園風光・中途可在休息站小憩
9/26 (六),19:25,翁夫勒 E.Leclerc 旗艦超市採購晚餐,停入 E.Leclerc HONFLEUR 停車場,⬜完全免費停車,週六營業至 20:00！採購法式烤全雞、現烤法棍、Camembert乳酪、生火腿與冰蘋果酒
9/26 (六),19:35,B&B HOTEL Honfleur 快速 Check-in,停入飯店專屬免費停車場,✅已預約 (BB22633724),已預約確認 (BB22633724)・70.98€(現場付款)・雙床房・附專屬免費停車場・大行李放進房間・換外套開車5分鐘前往老港
9/26 (六),19:46,⭐老港（Vieux Bassin）看夕陽倒影 ＆ 水岸野餐,老港旁 Parking Carnot 停車,⬜19:00後免費/銅板價,⭐19:46 日落！看粉紫夕陽染紅木帆船石屋・坐在水岸木椅浪漫野餐・20:00 藍調夜景
9/27 (日),整天,翁夫勒 ➔ 諾曼第大橋 ➔ 象鼻海岸白堊絕壁 ➔ 盧昂水岸連住2晚,自駕 A29 / D940 / A150,已預約,跨越諾曼第大橋・象鼻海岸雙象海蝕門健行・塞納河谷直奔盧昂・入住 Grand Hôtel de la Seine 連住 2 晚
9/27 (日),09:00,翁夫勒日間老港 ＆ 聖凱瑟琳全木造教堂,老港區步行,⬜免費,欣賞白天陽光下的彩色窄版石屋與帆船倒影・參觀全法最大雙中殿木造教堂(翻轉船底天花板)
9/27 (日),10:30,自駕橫跨「諾曼第大橋（Pont de Normandie）」,行駛 A29 高速公路（過橋費約 5.80€）,現場刷卡付費,橫跨塞納河出海口之巨型斜張橋・視野壯麗開闊・直奔象鼻海岸
9/27 (日),11:30,抵達象鼻海岸（Étretat）＆ 小鎮海邊午餐,停入鎮外 Parking du Grand Val 停車場,現場付費 (半日 7.50€/5h一口價),⚠️週日市區車位極難停・務必直停外圍大停車場 Grand Val・漫步步道 10 分鐘進海灘・品嚐蕎麥薄餅或海鮮
9/27 (日),13:00,⭐象鼻海岸雙象絕壁健行（阿瓦爾 ＋ 阿蒙懸崖）,白堊紀懸崖步道步行,⬜免費,攀登左側阿瓦爾懸崖看巨象吸水海蝕門與針形岩・右側阿蒙懸崖水手聖母教堂俯瞰海灣全景
9/27 (日),16:30,自駕沿塞納河谷前往歷史古都「盧昂 (Rouen)」,自駕 D940 ➔ A150（約85km/預留75分）,⬜免費/高速公路,一路向東順路推進・抵達盧昂市區飯店 Check-in 卸行李
9/27 (日),17:45,Grand Hôtel de la Seine Check-in (連住 2 晚),停入飯店私人停車場 (約 12€/24h),✅已確認預約 (K2N3SI),預約確認 (K2N3SI)・chin yu chang (2成人/1房)・塞納河水岸大飯店・連住 2 晚免搬行李！卸行李休整
9/27 (日),18:30,盧昂老城漫步 ＆ 莫內聖母大教堂夜景,舊城區步行,⬜免費,瞻仰莫內畫了30多次的哥德式盧昂聖母大教堂・穿過文藝復興大時鐘街・聖女貞德廣場
9/27 (日),20:00,⭐La Couronne 1345 百年老餐廳燭光晚餐,步行至舊市集廣場 (31 Pl. du Vieux Marché),✅已預約 (20:00/2人/TheFork: 790B-8602-147D-CA61),創立於1345年全法最古老小酒館・聖女貞德舊市集廣場31號・品嚐傳統諾曼第法餐配蘋果白蘭地・宿 Grand Hôtel de la Seine (第1晚)
9/28 (一),整天,歷史首府「盧昂」都市深度漫活 ＆ 美術館莫內真跡 (免換房續住),舊城區漫步,已預約,免收行李！大教堂內部・大時鐘登塔・盧昂美術館莫內真跡・聖馬克盧老街・續住 Grand Hôtel de la Seine (第2晚)
9/28 (一),09:00,盧昂聖母大教堂深度參觀,盧昂舊城步行,⬜免費,走進莫內描繪 30 餘幅名畫的哥德式大教堂內部・感受極致挑高穹頂與彩繪玻璃神聖光影
9/28 (一),10:30,文藝復興大時鐘街 ＆ 鐘樓登頂俯瞰,大時鐘街步行,現場購票,登上金色天文大時鐘樓頂・360度俯瞰盧昂童話哥德尖塔與半木結構屋頂全景
9/28 (一),12:00,舊市集廣場（Place du Vieux-Marché）法式午餐,舊城區步行,現場候位,瞻仰聖女貞德 1431 年殉難處地標・品嚐傳統諾曼第法餐與可麗餅
9/28 (一),13:45,⭐盧昂美術館（Musée des Beaux-Arts）名畫鑑賞,盧昂市中心步行,⬜常設展免費,親睹莫內《盧昂大教堂》系列油畫真跡與卡拉瓦喬大師名作・館藏極豐富
9/28 (一),15:45,聖馬克盧老街漫步 ＆ 買盧昂特產蘋果糖,古老半木老街,現場購買,漫步全城最古老半木結構歪斜街區・品嚐百年老店「糖蘋果 (Sucre de Pomme)」喝咖啡
9/28 (一),18:00,塞納河水岸漫步 ＆ 享用市區晚餐 / 續住 Grand Hôtel de la Seine,塞納河畔步行,現場候位,沿塞納河畔水岸漫步看晚霞・舊城區小酒館享用美味法餐・散步回飯店續住第 2 晚・免收行李超輕鬆！
9/29 (二),整天,盧昂出發 ➔ 吉維尼莫內睡蓮池 ➔ 韋爾農老磨坊 ➔ 凡爾賽商場,自駕 A13 高速公路,已預約,08:30盧昂退房・10:00莫內睡蓮池快速通關・百年玫瑰花園午餐・韋爾農老磨坊・宿凡爾賽 B&B Le Chesnay
9/29 (二),08:30,Grand Hôtel de la Seine 退房 ＆ 行李全數上車,自駕 A13 高速公路（約72km/預留50分）,收費高速公路,在盧昂悠閒退房・大行李全數鎖入後車廂拉上遮簾・08:45 出發走 A13 高速公路一路向東南開直奔吉維尼
9/29 (二),09:35,抵達吉維尼小鎮 ＆ 停入 Parking du Verger 大停車場,停入 Parking du Verger 停車場,⬜完全免費停車,官方免費大草坪停車場・步行 3 分鐘至 Sente Leroy 專屬通道・準備 10:00 快速通關入場
9/29 (二),10:00,⭐吉維尼：莫內之家與睡蓮花園 (Door n°1 bis 快速通關),莫內花園與故居,✅已購票 (27€/2人),已購門票 (時段 10:00 · 訂單號: 2624364336390402463・已存 data/)・由 Door n°1 bis 快速通關掃描進園・直奔水上花園拍晨光倒影日本橋與睡蓮池
9/29 (二),12:15,吉維尼小鎮：百年玫瑰花園法式午餐 (Restaurant Baudy),步行至 Restaurant Baudy,現場候位/預約,在昔日塞尚、雷諾瓦、羅丹等印象派大師聚會的百年老餐廳露天玫瑰花園用餐
9/29 (二),13:45,拍照秘境：韋爾農懸空老磨坊（Vieux Moulin）,自駕前往 Vernon（約5分）,⬜完全免費停車,停入 Parking du Vieux Moulin・欣賞建在中世紀斷橋上的木造懸空古磨坊(莫內畫作地標)
9/29 (二),14:30,塞納河畔皇家古城：聖日耳曼昂萊（Saint-Germain）,自駕 A13 高速公路（約55km/預留40分）,現場付費 (約2.5€/h),停入 Parking Indigo Château・參觀路易十四誕生古堡・漫步無敵大露台遠眺塞納河谷與巴黎全景
9/29 (二),17:00,自駕前往 B&B HOTEL Versailles Le Chesnay Check-in & 逛商場,自駕約 15 公里（預留25分）,✅已預約 (BB22648830),入住 Le Chesnay 分店 (121.06€)・下樓走路 3 分鐘即達 Westfield Parly 2 商場！逛老佛爺百貨(~20:30)與 Monoprix 超市(~21:00)採買隔日凡爾賽早餐
9/30 (三),整天,凡爾賽皇后門 12€ 停整天 ➔ 鏡廳衝刺 ➔ 特里亞農 ➔ 18:00 迪士尼還車,自駕 A86 / A4 外環高架,已預約,08:15退房・皇后門 12€ 停整天・09:00衝無人鏡廳・12:00大運河午餐・13:15特里亞農・15:30出發直奔迪士尼・18:00還車・宿迪士尼
9/30 (三),08:15,B&B HOTEL 退房 & 行李全數上車,自駕前往凡爾賽宮（約8分）,⬜免費,享用昨晚 Monoprix 買的水果優格・08:15 準時退房・大行李鎖入後車廂拉上遮簾出發
9/30 (三),08:30,🅿️ 抵達「Grille de la Reine (皇后門)」& 12€ 一口價停整天,停入大公園林蔭停車區,現場刷卡 (12.00€ 一口價停整天),導航 Grille de la Reine・繳費 12€ 進入大公園停在林蔭道・現省 15.6€ 停車費！車子整天免移車
9/30 (三),08:35,🚶 晨光漫步 10 分鐘至主殿正門 & 排隊安檢,步行至宮殿金黃大門 (Grille d'Honneur),⬜免費,由皇后門沿林蔭步道散步 10 分鐘抵達正門排隊・等候 09:00 第一場開門
9/30 (三),09:00,⭐凡爾賽宮「鏡廳衝刺法」& 皇家主殿深度遊,主宮殿 Entrée A (Pavillon Dufour),✅已購票 (70€/2人),已購全通票 (訂單號: 200517457 · 票號: 1988144322/1747818662)・一開門直衝 2 樓拍無人鏡廳空景！(📸 機位：落地窗與鏡面中央 2x 側光)・⚠️ 嚴禁自拍棒
9/30 (三),11:30,🌳 皇家大花園 & 噴泉運河漫步,皇家花園中軸線步行,⬜門票已包,走出宮殿・沿拉托娜噴泉中軸線悠閒漫步至大運河小威尼斯區
9/30 (三),12:00,🍽️【午餐】La Petite Venise 綠意古蹟庭園午餐,大運河畔租船處對面集合,✅已購餐券 (70€/2人),已購預約套餐 (訂單號: 200517457 · 票號: 1315255964/1641052700)・雙人點法：前菜+主菜 / 主菜+甜點+咖啡！推：紅酒牛頰肉寬麵、黑松露披薩、提拉米蘇
9/30 (三),13:15,🏡 特里亞農宮 & 瑪麗王后童話農莊深度參觀,大/小特里亞農 + 瑪麗農莊,⬜門票已包,參觀大特里亞農(📸 粉紅大理石迴廊光影)、小特里亞農與瑪麗農莊(📸 童話水車磨坊與愛之神廟)・🛍️ 買國王菜園蘋果玫瑰茶 (Nina's Paris)
9/30 (三),15:30,⚠️ 準時啟程直奔巴黎迪士尼 Chessy (特里亞農旁直接上車),自駕 A86 ➔ A4 外環高架（約68km/預留120分）,收費高速公路,車子就在特里亞農旁！直接上車開出公園・走外環高架完全避開巴黎市區塞車・預留足足 2 小時最穩妥
9/30 (三),17:35,⛽ 抵達迪士尼 Chessy 站外加油站加滿油 (Full Tank),TotalEnergies Relais Chessy 加油站,現場信用卡付費,在距離車站 2 公里處將油箱加滿(Full Tank)・保留加油發票供還車查驗
9/30 (三),18:00,🏁 Chessy Gare Marne-la-Vallée Sixt 順利還車！,停入車站 Effia 停車場 Sixt 專屬車位,✅已預約還車 (9738701348),拍照記錄儀表板里程與滿油・櫃檯交付車鑰匙・完美圓滿完成 6 天諾曼第自駕壯遊！
9/30 (三),18:30,🏨 Zenitude 飯店 Check-in & 迪士尼小鎮慶祝之夜,步行/搭接駁車至飯店,已預約 飯店,入住 Zenitude Hôtel-Résidences Chessy (3 晚)・晚上漫步 Disney Village 喝啤酒吃大餐慶祝！
